No,Operator,Product,Description,Normal Price,Price,Discount
150,Tri,Happy 6GB 5 hari,"""Kuota 6GB (semua jaringan 24 jam), masa aktif 5 hari. Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP MINGGUAN kirim ke 234""",20500,20500,0
151,Telkomsel,PAKET INTERNET HARIAN 20K 1 HARI,KUOTA 6GB sd 8GB,20525,20525,0
152,Telkomsel, PAKET BICARA SEMUA OPERATOR 3HARI , 585menit Onnet + 25menit AllOpr ,24500,24500,0
153,Axis,Paket Internet Axis BRONET 4G OWSEM 1GB+1GB (4G),Kuota Data 1GB + 1GB (4G). Masa aktif 30 hari.,20900,20900,3000
154,Axis,AIGO Bronet 24Jam 2GB 30hr,"Kuota Utama 2GB, Kuota Lokal mulai 1GB berlaku di area tertentu, 30hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet 30hari tidak berlaku perpanjangan ",25900,25900,0
155,Tri,PAKET DATA THREE 4 GB 24JAM MASA AKTIF 14 HARI,PAKET DATA THREE 4 GB 24JAM MASA AKTIF 14 HARI,25250,25250,0
156,Axis,Paket KANGEN 100 menit 30 hari,"Kuota nelpon 100 menit ke semua operator, masa aktif 30 hari.",26400,26400,1500
157,Indosat,Paket Nelpon Obrol Sepuasnya ke Sesama + 60 menit ke Semua 30 Hari,Nelp Sepuasnya ke Sesama IM3 dan Tri & 60 Menit Nelp ke operator lain. Masa aktif 30 hari,24750,24750,0
158,Telkomsel,"Kuota MaxStream 5GB + 1GB All network, 30 hari",Kuota MAXstream 5GB + All network 1GB. Masa aktif 30 hari,26500,26500,0
159,Telkomsel,Paket Bicara Telkomsel 25.000,550 menit nelpon ke sesama Telkomsel dan 50 menit all operator. Masa aktif 7 hari. Kuota zona berlaku.,26500,26500,0
160,Telkomsel,Telkomsel Data SMULE 1GB,"Kuota Utama 	1GB Internet, 1GB DPI MusicMax, 30 Hari SMULE VIP, 30 hari.",26500,26500,0
161,Telkomsel, PAKET BICARA SEMUA OPERATOR 7HARI , 780menit Onnet + 50menit AllOpr ,28500,28500,0
162,Telkomsel,Paket Data Zoom 3 Hari,"Kuota Internet ZOOM 1.5GB, masa aktif 3 hari",25000,25000,0
163,Telkomsel,MusicMAX,"Data Package of 1.25 GB kuota National, 0.25 GB kuota YouTube, 5 GB Music Apps DPI (Spotify, JOOX, Langit Musik, Resso, Dezeer, Smule, Wesing, Starmaker) Bonus: Langit Musik Premium 30 Days + 2 NSP 30 Days",26000,26000,0
164,Telkomsel,MusicMAX Smule,"Data Package of 1.25 GB kuota National, 0.25 GB kuota YouTube, 5 GB Music Apps DPI Smule 32874 25,000 30 days Bonus: Voucher Smule VIP 30 Days",26000,26000,0
165,Telkomsel,Paket Telpon (375-900 Menit On Net + 50 Menit Off Net) 7 Hari,Paket telpon sampai dengan 900 Menit ke sesama operator dan 50 Menit ke Operator lain. Masa aktif 7 Hari,27500,27500,0
166,Indosat,Indosat Paket Unlimited Nelpon Sesama 30 Hari,Paket telpon unlimited ke sesama operator. Masa aktif 30 Hari,27500,27500,0
167,Indosat,Indosat Paket Unlimited Nelpon Sesama + 60 Menit All 30 Hari,Paket telpon unlimited ke sesama operator dan 60 Menit ke semua operator. Masa aktif 30 Hari,28000,28000,0
168,Tri,Happy 7GB 30 hari + TikTok 5GB,"""Kuota 7GB (semua jaringan 24 jam), masa aktif 30 hari. Bonus kuota TikTok 5GB 5 hari (1GB/hari).  Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP BULANAN kirim ke 234.""",29000,29000,0
169,Tri,AON 6GB,"Kuota AlwaysOn = 6GB, aktif selamanya (mengikuti masa aktif kartu). Menambah masa aktif kartu 90 hari. Maksimal masa aktif kartu 365 hari.",29000,29000,0
170,XL,Paket Internet XL HotRod 800MB,Kuota Utama 800MB (2G/3G/4G). Masa aktif 30 hari.,29900,29900,100
171,XL,"XTRA Bicara Nelpon dan Internet, 30 hari",Paket XTRA Bicara Nelpon dan Internet. Masa aktif 30 hari.,29400,29400,600
172,Tri,"Tri Keep ON 5 GB, 30Hr"," 8,5 GB semua jaringan Tri + 100 mnt ke sesama Tri + 100 sms ke sesama Tri + games di trixogo dan nonton Viu 30 hari",29500,29500,0
173,Tri,Paket Bebas Bicara 150 Menit,150 Menit 24jam ke Semua Operator di Indonesia/30 hari (Sampai Pukul 23.59),30000,30000,0
174,Axis,AIGO Bronet 24Jam 3GB 30hr,"Kuota Utama 3GB, Kuota Lokal mulai 2GB berlaku di area tertentu, 30hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet 30hari tidak berlaku perpanjangan",32900,32900,0
175,Telkomsel,PAKET INTERNET MINGGUAN 30K,"KUOTA 1,2GB sd 2,5GB",31325,31325,0
