,No,Operator,Product,Description,Normal Price,Price,Discount,Kuota,Durasi
23,24,xl,xtra edukasi,"kuota utama 2gb, dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, kuota dapat digunakan untuk mengakses rumah belajar kemendikbud, spada indonesia kemendikbud, ruang guru, zenius, sekolahmu, dan website lembaga pendidikan dan universitas.daftar website dan aplikasi lengkap cek di www.xl.co.id, masa aktif 1 hari",1938,1938,62,2gb,1hr
24,25,xl,xtra edukasi,"kuota utama 5gb, dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, kuota dapat digunakan untuk mengakses rumah belajar kemendikbud, spada indonesia kemendikbud, ruang guru, zenius, sekolahmu, dan website lembaga pendidikan dan universitas.daftar website dan aplikasi lengkap cek di www.xl.co.id, masa aktif 3 hari",3435,3435,65,5gb,3hr
25,26,axis,bronet 24 jam," main kuota 1gb 1 hari selama 24jam di semua jaringan 2g/3g/4g,  main kuota 1gb 1 hari selama 24jam di semua jaringan 2g/3g/4g, cek lokal kuota di website axis.co.id",3850,3850,0,1gb,0
26,27,xl,paket blue,kuota utama 1 gb masa aktif 2 hari,4900,4900,0,1gb,2hr
27,28,xl,xl pure,"internet 500mb, masa aktif 30 hari.",9250,9250,0,500mb,30hr
28,29,telkomsel,paket bicara telkomsel 5.000,80 menit onnet + 20 menit all operator. masa aktif 1 hari. kuota zona berlaku.,7750,7750,0,,0
29,30,xl,xtra edukasi,"kuota utama 15gb, dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, kuota dapat digunakan untuk mengakses rumah belajar kemendikbud, spada indonesia kemendikbud, ruang guru, zenius, sekolahmu, dan website lembaga pendidikan dan universitas.daftar website dan aplikasi lengkap cek di www.xl.co.id, masa aktif 7 hari",8300,8300,700,15gb,7hr
30,31,xl,xl pure,"internet 800mb, masa aktif 30 hari.",16500,16500,0,800mb,30hr
31,32,axis,axis data,"data 500mb, masa aktif 30 hari",10000,10000,0,500mb,30hr
32,33,axis,aigo bronet mini,"kuota utama 1gb, kuota lokal mulai 0,5gb dan bonus kuota video/sosmed/games di area tertentu, masa aktif paket 5hari. cek kuota utama/lokal/sisa kuota di axisnet. unduh axisnet dari google play atau apple store. bronet mini tidak berlaku perpanjangan",10400,10400,0,1gb,5hr
33,34,xl,paket blue,kuota utama 3 gb masa aktif 2 hari,9850,9850,0,3gb,2hr
34,35,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 1.25 gb, kuota malam 1.75 gb (01.00-04.59), chat 1gb, free on net call, masa berlaku 7 hari",10000,10000,0,4gb,0
35,36,xl,xl pure,"internet 1gb, masa aktif 30 hari.",18000,18000,0,1gb,30hr
36,37,axis,bronet mini,kuota internet 1gb berlaku di semua jaringan 2g/3g/4g (national wide) dari jam 00-23.59 untuk 7 hari,13900,13900,0,1gb,7hr
37,38,xl,xtra on,"kuota utama 1gb,  dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, masa aktif unlimite",13940,13940,1060,1gb,0
38,39,indosat,freedom internet,"""• kuota utama 5gb, masa aktif 5 hari.  • pembelian paket akan menggantikan paket yg masih aktif.""",14900,14900,0,5gb/5hr,5gb/5hr
39,40,axis,axis data,"data 800mb, masa aktif 30 hari",17500,17500,0,800mb,30hr
40,41,axis,axis data,"data 1gb, masa aktif 30 hari",18500,18500,0,1gb,30hr
41,42,tri,tri happy,"5gb (semua jaringan 24 jam) masa aktif 7 hari. pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop mingguan kirim ke 234.",19500,19500,0,5gb,0
42,43,tri,tri happy,"5gb (semua jaringan 24 jam) masa aktif 7 hari. pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop mingguan kirim ke 234.",25000,25000,0,5gb,0
43,44,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 2 gb, kuota malam 3 gb (01.00-04.59), chat chat 1gb, free on net call, masa berlaku 30 hari",19700,19700,0,6gb,0
44,45,indosat,freedom internet,"""• kuota utama 7gb, masa aktif 7 hari.  • pembelian paket akan menggantikan paket yg masih aktif.""",19900,19900,0,7gb/7hr,7gb/7hr
45,46,xl,xl pure,"internet 2gb, masa aktif 30 hari.",33250,33250,0,2gb,30hr
46,47,smartfren,smart data unlimited 4g,"unlimited 1gb/day fup*, masa aktif 7 hari",22500,22500,0,,7hr
47,48,xl,xtra on,"kuota utama 2gb,  dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, masa aktif unlimited",22750,22750,2250,2gb,0
48,49,axis,bronet mini,kuota internet 3gb berlaku di semua jaringan 2g/3g/4g (national wide) dari jam 00-23.59 untuk 7 hari,24900,24900,0,3gb,7hr
49,50,xl,xtra hotrod special,kuota utama 2gb + kuota area hingga 12.5gb + youtube 24jam 4.5gb. masa aktif 7 hari. tidak berlaku perpanjangan otomatis.,25000,25000,0,6.5gb,7hr
50,51,xl,xl pure,"internet 3gb, masa aktif 30 hari.",52000,52000,0,3gb,30hr
51,52,telkomsel,telkomsel data flash," kuota utama 2gb, masa aktif 7 hari",49980,49980,0,2gb,hr
52,53,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 4 gb, kuota malam 4 gb (01.00-04.59), chat 2gb, free on net call, masa berlaku 30 hari",30000,30000,0,10gb,0
53,54,axis,axis data,"data 2gb, masa aktif 30 hari",32050,32050,0,2gb,30hr
54,55,axis,axis+ bronet 24jam,"paket axis+ 24jam 1gb 30hr, 6bln kuota utama 1gb di 2g/3g/4g & bonus 2gb sosmed/ chat perbulan selama 6 bulan",36500,36500,3500,1gb,0
55,56,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 6 gb, kuota malam 8 gb (01.00-04.59), chat 2 gb, free on net call, masa berlaku 30 hari",38900,38900,0,16gb,0
56,57,smartfren,super 4g unlimited 40k,"unlimited 4g data berlaku 24 jam, fup 1gb per hari, masa berlaku 14 hari (non mifi)",40500,40500,0,,0
57,58,tri,aon,"kuota alwayson = 9gb, aktif selamanya (mengikuti masa aktif kartu). menambah masa aktif kartu 90 hari. maksimal masa aktif kartu 365 hari.",42500,42500,0,9gb,0
58,59,smartfren,unlimited nonstop 45rb,"kuota utama 12gb unlimited,masa aktif 30 hari,gratis akses ke aplikasi tertentu,gratis nelpon ke sesama smartfren",44500,44500,0,,0
59,60,axis,axis data,"data 3gb, masa aktif 30 hari",48070,48070,0,3gb,30hr
60,61,axis,paket internet axis bronet,kuota 5gb (2g/3g/4g) 24jam. masa aktif 60 hari.,54900,54900,0,5gb,0
